title,author,duration_hours,file_size_mb
Adriatic,"Robert D. Kaplan",11.4400508333333,628.420999526978
Adrift,"Scott Galloway",3.25828222222222,182.375319480896
"Adult Assembly Required","Abbi Waxman",11.3450458333333,311.635736465454
"Adulthood Rites","Octavia E. Butler",10.2191005555556,370.894070625305
"Advanced Algorithms and Data Structures","Marcello La Rocca",23.5381063888889,1283.23140144348
"Adventures in Unhistory","Avram Davidson",17.3960605555556,948.407363891602
"Adverse Events","Jill A. Fisher",13.01194,586.852255821228
"Aesop's Fables",Aesop,4.49035194444444,122.557816505432
"African Samurai","Thomas Lockley",10.1369163888889,276.225346565247
"Africans and Native Americans","Jack Ford",15.8465741666667,751.194716453552
Africatown,"Nick Tabor",13.4515516666667,369.658659934998
"After Dark","Haruki Murakami",5.72963277777778,196.613967895508
"After Eden","John Charles Chasteen",13.9632544444444,392.024914741516
"After Work","Nick Srnicek",6.27976583333333,348.678373336792
"After the Forest","Neil Woods",13.9477925,402.059254646301
"After the Quake","Haruki Murakami",4.33043222222222,178.418495178223
Afterland,"Lauren Beukes",14.1058516666667,783.253681182861
"Against All Hope","Armando Valladares",17.5459,494.737364768982
"Against Interpretation and Other Essays","Susan Sontag",12.11126,400.699162483215
"Against Platforms","Mike Pepi",8.07546388888889,440.998780250549
"Against Technoableism","Maria Pendolino",4.05889888888889,116.175798416138
"Against the Loveless World","Susan Abulhawa",13.16376,717.328784942627
"Age of Ambition","Evan Osnos",16.689415,229.511842727661
"Age of Ash","Daniel Abraham",14.5877236111111,795.503561973572
"Age of Death","Michael J. Sullivan",13.9652677777778,761.004332542419
"Age of Empyre","Michael J. Sullivan",16.709415,910.531134605408
"Age of Invisible Machines","Robb Wilson",7.93495527777778,223.480105400085
"Age of Legend","Michael J. Sullivan",14.5738755555556,794.158132553101
"Age of Myth","Michael J. Sullivan",16.9277855555556,461.25285243988
"Age of Swords","Michael J. Sullivan",20.06088,546.593472480774
"Age of War","Michael J. Sullivan",33.5765980555556,918.533026695251
Agency,"William Gibson",10.2113988888889,208.783442497253
"Agent to the Stars","John Scalzi",8.82916861111111,240.628902435303
"Ah, Sweet Mystery of Life","Roald Dahl",4.61926222222222,127.015830993652
"Ahab's Rolling Sea","Richard J. King",27.4000694444444,1493.78336524963
"Ain't I a Woman","bell hooks",8.93027,491.668386459351
"Ain't No Sunshine","Mark Ribowsky",9.87468055555556,271.259202957153
Aion,"C. G. Jung",10.7717066666667,586.962563514709
Air,"William Bryant Logan",11.1812080555556,304.664894104004
"Airplane Mode","Deepa Samuel",8.77405916666667,239.715545654297
"Akata Warrior","Nnedi Okorafor",12.7205297222222,524.070394515991
"Akata Witch","Nnedi Okorafor",8.82224472222222,355.985399246216
"Akata Woman","Nnedi Okorafor",13.2974366666667,373.871849060059
"Alan Bennett: Stories","Alan Bennett",11.0623619444444,304.276160240173
Alaska,"James A. Michener",26.7814219444444,1293.10397338867
"Albert and the Whale","Philip Hoare",9.21335555555556,258.861102104187
"Alcatraz Versus The Knights of Crystallia [Dramatized Adaptation]","Brandon Sanderson",5.54765277777778,308.090258598328
"Alcatraz Versus The Scrivener’s Bones [Dramatized Adaptation]",GraphicAudio,5.74675416666667,319.208174705505
"Alcatraz versus the Evil Librarians","Brandon Sanderson",6.91365111111111,383.958268165588
"Alchemy of a Blackbird","Claire McMillan",17.2682283333333,484.725605010986
"Algorithms of Armageddon","Lyle Blaker",7.63667138888889,209.752490997314
"Alice Sadie Celine","Sarah Blakley-Cartwright",8.60986194444444,239.80327796936
"Alice's Adventures in Wonderland -","Lewis Carroll",6.2109375,266.408540725708
"Alice's Adventures in Wonderland and Through the Looking Glass","Lewis Carroll",8.7857925,478.793137550354
"Alien III","William Gibson",2.28206444444444,155.801308631897
"Alien Worlds","Steve Nicholls",15.0250161111111,419.560815811157
"Alif the Unseen","G. Willow Wilson",15.3468344444444,421.572679519653
"Alight [Dramatized Adaptation]",GraphicAudio,7.7091625,857.003702163696
"Alive [Dramatized Adaptation]",GraphicAudio,6.17332916666667,686.20930480957
"All Boys Aren't Blue","George M. Johnson",5.20099416666667,182.527616500854
"All God's Children Need Traveling Shoes","Maya Angelou",7.25690333333333,243.98415851593
"All Grown Up","Jami Attenberg",5.69428333333333,78.2084274291992
"All Hell Breaking Loose","Michael T. Klare",7.76941138888889,270.756423950195
"All Joy and No Fun","Jennifer Senior",8.33473027777778,410.3046875
"All My Rage","Sabaa Tahir",10.4211605555556,568.254198074341
"All Our Wrong Todays","Elan Mastai",10.0395344444444,273.658504486084
"All Our Yesterdays","Joel H. Morris",10.9379816666667,300.468231201172
"All Signs Point to Paris","Natasha Sizlo",9.97041611111111,279.813808441162
"All Systems Red","Martha Wells",3.29778833333333,144.273861885071
"All That She Carried","Tiya Miles",9.49252055555556,320.412275314331
"All This Could Be Different","Sarah Thankam Mathews",10.6227422222222,579.190522193909
"All This Hell","Evelyn Monahan",6.78385166666667,184.87944984436
"All Together Dead","Charlaine Harris",9.82719277777778,308.594841957092
"All Tomorrow's Parties","William Gibson",10.9232633333333,150.029998779297
"All You Can Ever Know","Nicole Chung",6.71957916666667,184.799307823181
"All of Our Demise","C. L. Herman",18.8733272222222,529.621050834656
"All of Us Strangers","Geoff Sugiyama",5.11719611111111,140.594396591187
